sales_date,n
01/07/2016,52
01/08/2016,50
01/11/2016,32
01/12/2016,42
01/13/2016,62
01/14/2016,56
01/15/2016,52
01/16/2016,3
01/18/2016,26
01/19/2016,41
01/20/2016,47
01/21/2016,40
01/22/2016,6
01/25/2016,34
01/26/2016,50
01/27/2016,57
01/28/2016,56
01/29/2016,51
01/30/2016,2
01/31/2016,4
02/01/2016,63
02/02/2016,57
02/03/2016,68
02/04/2016,58
02/05/2016,47
02/06/2016,5
02/07/2016,6
02/08/2016,42
02/09/2016,43
02/10/2016,37
02/11/2016,59
02/12/2016,47
02/13/2016,2
02/14/2016,9
02/15/2016,34
02/16/2016,32
02/17/2016,27
02/18/2016,54
02/19/2016,35
02/20/2016,2
02/21/2016,2
02/22/2016,42
02/23/2016,44
02/24/2016,46
02/25/2016,41
02/26/2016,74
02/27/2016,2
02/28/2016,5
02/29/2016,63
03/01/2016,60
03/02/2016,68
03/03/2016,78
03/04/2016,57
03/05/2016,3
03/06/2016,10
03/07/2016,44
03/08/2016,58
03/09/2016,50
03/10/2016,32
03/11/2016,58
03/13/2016,5
03/14/2016,49
03/15/2016,31
03/16/2016,59
03/17/2016,57
03/18/2016,32
03/19/2016,3
03/20/2016,1
03/21/2016,23
03/22/2016,57
03/23/2016,59
03/24/2016,38
03/25/2016,29
03/26/2016,2
03/27/2016,2
03/28/2016,23
03/29/2016,46
03/30/2016,56
03/31/2016,68
04/01/2016,45
04/02/2016,5
04/03/2016,7
04/04/2016,59
04/05/2016,61
04/06/2016,51
04/07/2016,48
04/08/2016,49
04/09/2016,2
04/10/2016,5
04/11/2016,41
04/12/2016,50
04/13/2016,51
04/14/2016,50
04/15/2016,66
04/16/2016,4
04/17/2016,3
04/18/2016,47
04/19/2016,47
04/20/2016,38
04/21/2016,50
04/22/2016,63
04/23/2016,1
04/24/2016,3
04/25/2016,54
04/26/2016,50
04/27/2016,54
04/28/2016,50
04/29/2016,54
04/30/2016,4
05/01/2016,4
05/02/2016,42
05/03/2016,50
05/04/2016,49
05/05/2016,49
05/06/2016,36
05/07/2016,2
05/08/2016,5
05/09/2016,56
05/10/2016,46
05/11/2016,49
05/12/2016,36
05/13/2016,43
05/14/2016,2
05/15/2016,2
05/16/2016,52
05/17/2016,39
05/18/2016,50
05/19/2016,45
05/20/2016,43
05/21/2016,1
05/22/2016,3
05/23/2016,32
05/24/2016,47
05/25/2016,52
05/26/2016,41
05/27/2016,50
05/28/2016,3
05/29/2016,5
05/30/2016,9
05/31/2016,86
06/01/2016,86
06/02/2016,56
06/03/2016,50
06/04/2016,1
06/05/2016,3
06/06/2016,43
06/07/2016,48
